pinging DAFFE 3
PING 54.74.144.100 (54.74.144.100) 56(84) bytes of data.
64 bytes from 54.177.53.81: icmp_seq=60 ttl=45 time=157 ms
64 bytes from 54.177.53.81: icmp_seq=61 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=62 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=63 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=64 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=65 ttl=45 time=171 ms
64 bytes from 54.177.53.81: icmp_seq=66 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=67 ttl=45 time=162 ms
64 bytes from 54.177.53.81: icmp_seq=68 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=69 ttl=45 time=155 ms
64 bytes from 54.177.53.81: icmp_seq=70 ttl=45 time=157 ms
64 bytes from 54.177.53.81: icmp_seq=71 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=72 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=73 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=74 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=75 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=76 ttl=45 time=162 ms
64 bytes from 54.177.53.81: icmp_seq=77 ttl=45 time=155 ms
64 bytes from 54.177.53.81: icmp_seq=78 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=79 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=80 ttl=45 time=155 ms
64 bytes from 54.177.53.81: icmp_seq=81 ttl=45 time=158 ms
64 bytes from 54.177.53.81: icmp_seq=82 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=83 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=84 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=85 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=86 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=87 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=88 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=89 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=90 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=91 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=92 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=93 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=94 ttl=45 time=186 ms
64 bytes from 54.177.53.81: icmp_seq=95 ttl=45 time=155 ms
64 bytes from 54.177.53.81: icmp_seq=96 ttl=45 time=157 ms
64 bytes from 54.177.53.81: icmp_seq=97 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=98 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=99 ttl=45 time=158 ms
64 bytes from 54.177.53.81: icmp_seq=100 ttl=45 time=155 ms

--- 54.177.53.81 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99032ms
rtt min/avg/max/mdev = 153.178/156.823/186.523/5.349 ms
===============================================
pinging DAFFE 6
PING 175.41.186.101 (175.41.186.101) 56(84) bytes of data.
64 bytes from 175.41.186.101: icmp_seq=1 ttl=43 time=355 ms
64 bytes from 175.41.186.101: icmp_seq=2 ttl=43 time=370 ms
64 bytes from 175.41.186.101: icmp_seq=3 ttl=43 time=354 ms
64 bytes from 175.41.186.101: icmp_seq=4 ttl=43 time=477 ms
64 bytes from 175.41.186.101: icmp_seq=5 ttl=43 time=470 ms
64 bytes from 175.41.186.101: icmp_seq=6 ttl=43 time=422 ms
64 bytes from 175.41.186.101: icmp_seq=7 ttl=43 time=370 ms
64 bytes from 175.41.186.101: icmp_seq=8 ttl=43 time=357 ms
64 bytes from 175.41.186.101: icmp_seq=9 ttl=43 time=360 ms
64 bytes from 175.41.186.101: icmp_seq=10 ttl=43 time=665 ms
64 bytes from 175.41.186.101: icmp_seq=11 ttl=43 time=405 ms
64 bytes from 175.41.186.101: icmp_seq=12 ttl=43 time=357 ms
64 bytes from 175.41.186.101: icmp_seq=13 ttl=43 time=364 ms
64 bytes from 175.41.186.101: icmp_seq=14 ttl=43 time=354 ms
64 bytes from 175.41.186.101: icmp_seq=15 ttl=43 time=364 ms
64 bytes from 175.41.186.101: icmp_seq=16 ttl=43 time=354 ms
64 bytes from 175.41.186.101: icmp_seq=17 ttl=43 time=365 ms
64 bytes from 175.41.186.101: icmp_seq=18 ttl=43 time=356 ms
64 bytes from 175.41.186.101: icmp_seq=19 ttl=43 time=355 ms
64 bytes from 175.41.186.101: icmp_seq=20 ttl=43 time=363 ms
64 bytes from 175.41.186.101: icmp_seq=21 ttl=43 time=356 ms
64 bytes from 175.41.186.101: icmp_seq=22 ttl=43 time=365 ms
64 bytes from 175.41.186.101: icmp_seq=23 ttl=43 time=366 ms
64 bytes from 175.41.186.101: icmp_seq=24 ttl=43 time=363 ms
64 bytes from 175.41.186.101: icmp_seq=25 ttl=43 time=371 ms
64 bytes from 175.41.186.101: icmp_seq=26 ttl=43 time=354 ms
64 bytes from 175.41.186.101: icmp_seq=27 ttl=43 time=356 ms
64 bytes from 175.41.186.101: icmp_seq=28 ttl=43 time=359 ms
64 bytes from 175.41.186.101: icmp_seq=29 ttl=43 time=365 ms
64 bytes from 175.41.186.101: icmp_seq=30 ttl=43 time=355 ms
64 bytes from 175.41.186.101: icmp_seq=31 ttl=43 time=363 ms
64 bytes from 175.41.186.101: icmp_seq=32 ttl=43 time=356 ms
64 bytes from 175.41.186.101: icmp_seq=33 ttl=43 time=359 ms
64 bytes from 175.41.186.101: icmp_seq=34 ttl=43 time=356 ms
64 bytes from 175.41.186.101: icmp_seq=35 ttl=43 time=356 ms
64 bytes from 175.41.186.101: icmp_seq=36 ttl=43 time=358 ms
64 bytes from 175.41.186.101: icmp_seq=37 ttl=43 time=357 ms
64 bytes from 175.41.186.101: icmp_seq=38 ttl=43 time=355 ms
64 bytes from 175.41.186.101: icmp_seq=39 ttl=43 time=357 ms
64 bytes from 175.41.186.101: icmp_seq=40 ttl=43 time=357 ms
64 bytes from 175.41.186.101: icmp_seq=41 ttl=43 time=354 ms
64 bytes from 175.41.186.101: icmp_seq=42 ttl=43 time=362 ms
64 bytes from 175.41.186.101: icmp_seq=43 ttl=43 time=356 ms
64 bytes from 175.41.186.101: icmp_seq=44 ttl=43 time=367 ms
64 bytes from 175.41.186.101: icmp_seq=45 ttl=43 time=356 ms
64 bytes from 175.41.186.101: icmp_seq=46 ttl=43 time=387 ms
64 bytes from 175.41.186.101: icmp_seq=47 ttl=43 time=362 ms
64 bytes from 175.41.186.101: icmp_seq=48 ttl=43 time=357 ms
64 bytes from 175.41.186.101: icmp_seq=49 ttl=43 time=358 ms
64 bytes from 175.41.186.101: icmp_seq=50 ttl=43 time=359 ms
